1 6:1 12:1 14:1 18:1 32:1 35:1 46:1 57:1 68:1 79:1 90:1 103:1 122:1 140:1 160:1 180:1 200:1
-1 10:1 12:1 13:1 18:1 31:1 34:1 45:1 56:1 67:1 78:1 89:1 100:1 120:1 140:1 173:1 180:1 200:1
1 10:1 12:1 14:1 19:1 24:1 35:1 46:1 57:1 68:1 79:1 92:1 107:1 124:1 149:1 166:1 180:1 203:1
-1 10:1 12:1 13:1 18:1 29:1 36:1 45:1 56:1 67:1 78:1 90:1 108:1 123:1 154:1 167:1 191:1 200:1
-1 4:1 11:1 14:1 19:1 30:1 35:1 46:1 57:1 68:1 79:1 90:1 102:1 122:1 142:1 162:1 182:1 202:1
-1 4:1 12:1 14:1 19:1 32:1 35:1 46:1 57:1 68:1 81:1 92:1 102:1 122:1 142:1 160:1 182:1 200:1
-1 6:1 12:1 13:1 19:1 26:1 37:1 46:1 57:1 68:1 79:1 90:1 102:1 122:1 140:1 160:1 183:1 200:1
-1 6:1 12:1 14:1 18:1 29:1 35:1 46:1 57:1 67:1 78:1 89:1 102:1 122:1 144:1 163:1 185:1 203:1
1 10:1 12:1 14:1 18:1 31:1 34:1 45:1 56:1 67:1 78:1 89:1 100:1 121:1 140:1 162:1 180:1 200:1
-1 10:1 11:1 13:1 19:1 25:1 36:1 45:1 56:1 67:1 79:1 90:1 100:1 120:1 153:1 163:1 183:1 203:1
1 10:1 11:1 13:1 19:1 25:1 36:1 48:1 57:1 68:1 79:1 90:1 100:1 123:1 143:1 165:1 183:1 203:1
1 4:1 11:1 14:1 19:1 30:1 35:1 46:1 57:1 68:1 79:1 90:1 104:1 123:1 142:1 163:1 184:1 200:1
1 6:1 12:1 15:1 19:1 31:1 35:1 46:1 57:1 68:1 79:1 90:1 102:1 122:1 142:1 160:1 180:1 200:1
-1 9:1 12:1 14:1 19:1 22:1 37:1 50:1 61:1 71:1 83:1 93:1 103:1 120:1 143:1 160:1 180:1 202:1
-1 10:1 12:1 13:1 19:1 24:1 34:1 45:1 56:1 67:1 78:1 89:1 100:1 120:1 145:1 160:1 199:1 203:1
-1 3:1 11:1 13:1 19:1 25:1 36:1 48:1 56:1 68:1 79:1 90:1 100:1 130:1 140:1 160:1 180:1 200:1
-1 10:1 11:1 14:1 19:1 27:1 35:1 46:1 57:1 68:1 79:1 90:1 102:1 122:1 142:1 162:1 182:1 202:1
-1 3:1 11:1 14:1 19:1 23:1 35:1 46:1 60:1 70:1 81:1 89:1 104:1 120:1 140:1 166:1 190:1 200:1
-1 10:1 12:1 14:1 18:1 31:1 34:1 46:1 56:1 67:1 78:1 89:1 112:1 125:1 145:1 164:1 184:1 204:1
-1 4:1 12:1 14:1 19:1 22:1 34:1 45:1 59:1 67:1 78:1 89:1 103:1 120:1 143:1 160:1 180:1 201:1
-1 10:1 11:1 13:1 18:1 33:1 34:1 45:1 56:1 67:1 78:1 89:1 105:1 123:1 145:1 167:1 187:1 207:1
-1 4:1 12:1 14:1 18:1 27:1 35:1 46:1 57:1 68:1 79:1 90:1 102:1 122:1 142:1 161:1 181:1 201:1
-1 10:1 11:1 13:1 18:1 30:1 34:1 45:1 56:1 67:1 78:1 89:1 101:1 121:1 141:1 161:1 181:1 201:1
1 10:1 12:1 13:1 18:1 29:1 37:1 45:1 56:1 67:1 78:1 90:1 100:1 120:1 140:1 162:1 183:1 203:1
1 10:1 11:1 13:1 19:1 26:1 34:1 45:1 56:1 67:1 78:1 90:1 103:1 121:1 144:1 170:1 183:1 203:1
-1 6:1 12:1 14:1 20:1 32:1 37:1 48:1 59:1 70:1 81:1 90:1 103:1 122:1 142:1 160:1 182:1 203:1
-1 10:1 12:1 14:1 18:1 28:1 35:1 46:1 57:1 68:1 79:1 90:1 104:1 124:1 144:1 164:1 184:1 207:1
1 3:1 11:1 13:1 18:1 23:1 34:1 45:1 56:1 67:1 78:1 89:1 101:1 120:1 140:1 160:1 180:1 200:1
-1 10:1 11:1 15:1 18:1 25:1 34:1 45:1 56:1 67:1 78:1 89:1 112:1 130:1 145:1 161:1 183:1 210:1
